Time step
0
2
8
50
90
112
124
126
127
147
153
155
157
159
169
207
229
275
283
329
331
333
337
385
393
395
397
445
447
449
451
501
503
519
527
555
563
573
591
625
627
637
637
645
677
681
695
697
699
701
703
755
757
765
767
769
775
793
805
817
827
845
849
867
877
881
899
929
933
955
957
1033
1041
1047
1117
1125
1131
1135
1155
1159
1165
1177
1181
1205
1225
1229
1237
1241
1277
1280
1334
1344
1352
1353
1354
1360
1402
1442
1464
1476
1478
1479
1499
1505
1507
1509
1511
1521
1559
1581
1627
1635
1681
1683
1685
1689
1737
1745
1747
1749
1797
1799
1801
1803
1853
1855
1871
1879
1907
1915
1925
1943
1977
1979
1989
1989
1997
2029
2033
2047
2049
2051
2053
2055
2107
2109
2117
2119
2121
2127
2145
2157
2169
2179
2197
2201
2219
2229
2233
2251
2281
2285
2307
2309
2385
2393
2399
2469
2477
2483
2487
2507
2511
2517
2529
2533
2557
2577
2581
2589
2593
2629
2632
2686
2696
2704
